	user_id	exercise	problem_type	problem_number	topic_mode	suggested	review_mode	time_done	time_taken	time_taken_attempts	correct	count_attempts	hint_used	count_hints	hint_time_taken_list	earned_proficiency	points_earned
7235416	247569	divisibility_0.5	factor	1	True	True	False	1397983621629220	184	184	True	1	False	0		False	225
15069873	247569	divisibility_0.5	factor	2	True	True	False	1397983678013930	34	34	True	1	False	0		False	225
13288499	247569	divisibility_0.5	multiple	3	True	True	False	1398842254636300	11	11	True	1	False	0		False	225
18335457	247569	divisibility_0.5	multiple	4	True	True	False	1398842366632300	15	15	True	1	False	0		False	225
15288180	247569	divisibility_0.5	multiple	5	True	False	False	1398842388008600	19	9&0&10	False	3	False	0		False	0
23114485	247569	divisibility_0.5	factor	6	True	False	False	1398842429437950	20	17&3	False	2	False	0		False	0
3160594	247569	divisibility_0.5	factor	7	True	False	False	1398842446786320	14	9&5	False	2	False	0		False	0
23896022	247569	divisibility_0.5	multiple	8	True	True	False	1398842478404120	14	14	True	1	False	0		False	225
15342011	247569	divisibility_0.5	multiple	9	True	True	False	1398842552872810	10	10	True	1	False	0		False	225
7367336	247569	divisibility_0.5	factor	10	True	False	False	1398842578022100	20	14&6	False	2	False	0		False	0
3779555	247569	divisibility_0.5	factor	11	True	False	False	1398843466418670	861	861	True	1	False	0		False	225
4159499	247569	divisibility_0.5	factor	12	True	False	False	1398843547640360	80	80	True	1	False	0		False	225
5017408	247569	divisibility_0.5	multiple	13	True	False	False	1398843554217690	6	6	True	1	False	0		False	225
24097060	247569	divisibility_0.5	multiple	14	True	False	False	1398843561721540	7	7	True	1	False	0		False	225
6163457	247569	divisibility_0.5	multiple	15	True	False	False	1398843568767510	6	6	True	1	False	0		False	225
9828054	247569	divisibility_0.5	factor	16	True	False	False	1398843573097800	3	3	True	1	False	0		False	210
16764989	247569	divisibility_0.5	factor	17	True	False	False	1398843584699300	19	11&5&0&3	False	4	False	0		False	0
2180437	247569	divisibility_0.5	multiple	18	True	False	False	1398843610256270	15	15	True	1	False	0		False	195
2205777	247569	divisibility_0.5	multiple	19	True	False	False	1399010433064430	37	37	True	1	False	0		False	195
16149494	247569	divisibility_0.5	factor	20	True	False	False	1399010455880650	11	11	True	1	False	0		False	195
3580483	247569	divisibility_0.5	factor	21	True	False	False	1399010463604370	7	7	True	1	False	0		False	195
11923153	247569	divisibility_0.5	factor	22	True	False	False	1399010479969430	18	15&0&3	False	3	False	0		False	0
2787648	247569	divisibility_0.5	multiple	23	True	False	False	1399010503156310	31	19&12	False	2	False	0		False	0
22948023	247569	divisibility_0.5	multiple	24	True	False	False	1399010527208100	11	11	True	1	False	0		False	195
14243212	247569	divisibility_0.5	multiple	25	True	False	False	1399010583109500	60	54&4&2	False	3	False	0		False	0
3315244	247569	divisibility_0.5	factor	26	True	False	False	1399010596155160	5	5	True	1	False	0		False	195
9506668	247569	divisibility_0.5	factor	27	True	False	False	1399010621634070	24	18&6	False	2	False	0		False	0
23600090	247569	divisibility_0.5	multiple	28	True	False	False	1399010644912320	23	16&3&4	False	3	False	0		False	0
17840726	247569	divisibility_0.5	multiple	29	True	False	False	1399010660439000	12	7&3&2	False	3	False	0		False	0
11705034	247569	divisibility_0.5	factor	30	True	False	False	1399010676797920	17	10&0&4&3	False	4	False	0		False	0
23873744	247569	divisibility_0.5	factor	31	True	False	False	1399010689824800	8	5&0&2&1	False	4	False	0		False	0
2055846	247569	divisibility_0.5	factor	32	True	False	False	1399010699100760	4	4	True	1	False	0		False	195
1674762	247569	divisibility_0.5	multiple	33	True	False	False	1399010751069540	51	51	True	1	False	0		False	195
6675798	247569	divisibility_0.5	multiple	34	True	False	False	1399010762428920	10	10	True	1	False	0		False	195
25890338	247569	divisibility_0.5	multiple	35	True	False	False	1399010779253210	8	8	True	1	False	0		False	195
13103468	247569	divisibility_0.5	factor	36	True	False	False	1399010790422680	10	10	True	1	False	0		False	195
16780849	247569	divisibility_0.5	factor	37	True	False	False	1399011009023110	217	217	True	1	False	0		False	195
21560282	247569	divisibility_0.5	multiple	38	True	False	False	1399011025892710	18	16&1&1	False	3	False	0		False	0
14488271	247569	divisibility_0.5	multiple	39	True	False	False	1399011036604210	7	7	True	1	False	0		False	195
21503759	247569	divisibility_0.5	factor	40	True	False	False	1399011064787810	29	27&1&1	False	3	False	0		False	0
14279735	247569	divisibility_0.5	factor	41	True	False	False	1399011097457680	30	30	True	1	False	0		False	195
21318759	247569	divisibility_0.5	factor	42	True	False	False	1399011109606290	13	11&2	False	2	False	0		False	0
