	user_id	exercise	problem_type	problem_number	topic_mode	suggested	review_mode	time_done	time_taken	time_taken_attempts	correct	count_attempts	hint_used	count_hints	hint_time_taken_list	earned_proficiency	points_earned
127407	945	number_line_3	0	1	False	False	False	1400730561921090	42	9&33	False	2	False	0		False	0
19699476	945	number_line_3	0	2	True	False	False	1400730764728790	26	10&4&2&2&2&6	False	6	True	5	2&2&2&2&3	False	0
25272933	945	number_line_3	0	3	True	False	False	1400730831055820	10	10	True	1	False	0		False	225
2387975	945	number_line_3	0	4	True	False	False	1400730837984250	15	5&10	False	2	False	0		False	0
17378173	945	number_line_3	0	5	True	False	False	1400730855888330	27	7&2&12&6	False	4	False	0		False	0
1326726	945	number_line_3	0	6	True	False	False	1400730930148050	13	8&5	False	2	False	0		False	0
23943323	945	number_line_3	0	7	True	False	False	1400730943965120	17	7&10	False	2	True	5	2&2&2&3&3	False	0
8458946	945	number_line_3	0	8	True	False	False	1400730996816610	19	19	True	1	False	0		False	225
11021727	945	number_line_3	0	9	True	False	False	1400731009400770	25	11&9&5	False	3	False	0		False	0
11187672	945	number_line_3	0	10	True	False	False	1400731037996120	6	6	True	1	False	0		False	225
22492169	945	number_line_3	0	11	True	False	False	1400731045834790	6	6	True	1	False	0		False	225
13095235	945	number_line_3	0	12	True	False	False	1400731051682470	4	4	True	1	False	0		False	225
18348059	945	number_line_3	0	13	True	False	False	1400731057954960	5	5	True	1	False	0		False	225
19395924	945	number_line_3	0	14	True	False	False	1400731072331230	13	13	True	1	False	0		False	225
5885028	945	number_line_3	0	15	True	False	False	1400731079781120	6	6	True	1	False	0		False	210
3333946	945	number_line_3	0	16	True	False	False	1400731086965620	11	5&6	False	2	False	0		False	0
19402320	945	number_line_3	0	17	True	False	False	1400731103200180	13	9&4	False	2	False	0		False	0
1034386	945	number_line_3	0	18	True	False	False	1400731121931340	5	5	True	1	False	0		False	195
16666122	945	number_line_3	0	19	True	False	False	1400731131284440	35	7&13&6&9	False	4	False	0		False	0
846863	945	number_line_3	0	20	True	False	False	1400806033208550	8	8	True	1	False	0		False	195
18018788	945	number_line_3	0	21	True	False	False	1400806042048770	7	7	True	1	False	0		False	195
22644081	945	number_line_3	0	22	True	False	False	1400806052945900	46	9&10&5&11&2&9	False	6	True	5	2&2&3&3&4	False	0
17652767	945	number_line_3	0	23	True	False	False	1400806101760000	36	10&4&11&3&8	False	5	True	5	2&2&2&3&3	False	0
25039352	945	number_line_3	0	24	True	False	False	1400806138281380	12	8&4	False	2	False	0		False	0
21235041	945	number_line_3	0	25	True	False	False	1400806150242990	6	6	True	1	False	0		False	195
19383347	945	number_line_3	0	26	True	False	False	1400806164354770	6	6	True	1	False	0		False	195
17289834	945	number_line_3	0	27	True	False	False	1400806172317960	27	6&3&5&3&8&2	False	6	True	5	2&3&3&3&3	False	0
11278927	945	number_line_3	0	28	True	False	False	1400806198664680	5	5	True	1	False	0		False	195
6748291	945	number_line_3	0	29	True	False	False	1400806208448860	8	8	True	1	False	0		False	195
20381453	945	number_line_3	0	30	True	False	False	1400806221317640	11	11	True	1	False	0		False	195
23690839	945	number_line_3	0	31	True	False	False	1400806231532770	9	9	True	1	False	0		False	195
14491225	945	number_line_3	0	32	True	False	False	1400806237192530	5	4&1	False	2	False	0		False	0
5503236	945	number_line_3	0	33	True	False	False	1400806249181050	16	9&2&5	False	3	False	0		False	0
3886584	945	number_line_3	0	34	True	False	False	1400806274216760	8	8	True	1	False	0		False	195
13838638	945	number_line_3	0	35	True	False	False	1400806287261400	12	6&6	False	2	False	0		False	0
21558441	945	number_line_3	0	36	True	False	False	1400806304943720	15	10&5	False	2	False	0		False	0
12484389	945	number_line_3	0	37	True	False	False	1400806316662640	5	5	True	1	False	0		False	195
9683559	945	number_line_3	0	38	True	False	False	1400806322723350	7	4&3	False	2	False	0		False	0
21998052	945	number_line_3	0	39	True	False	False	1400806335000980	20	8&12	False	2	True	5	6&6&6&7&7	False	0
19860989	945	number_line_3	0	40	True	False	False	1400806354414160	5	5	True	1	False	0		False	195
19727923	945	number_line_3	0	41	True	False	False	1400806364221490	8	8	True	1	False	0		False	195
12466910	945	number_line_3	0	42	True	False	False	1400806376397520	10	10	True	1	False	0		False	195
9788042	945	number_line_3	0	43	True	False	False	1400806388126640	11	4&7	False	2	False	0		False	0
9017684	945	number_line_3	0	44	True	False	False	1400806401302750	4	4	True	1	False	0		False	195
8318882	945	number_line_3	0	45	True	False	False	1400806411230430	15	8&7	False	2	False	0		False	0
1844898	945	number_line_3	0	46	True	False	False	1400806423858320	4	4	True	1	False	0		False	195
17060132	945	number_line_3	0	47	True	False	False	1400806434095440	10	8&2	False	2	False	0		False	0
2560997	945	number_line_3	0	48	True	False	False	1400806446328870	10	8&2	False	2	False	0		False	0
20318615	945	number_line_3	0	49	True	False	False	1400806456647470	28	7&4&7&3&7	False	5	True	5	1&2&2&2&2	False	0
15630073	945	number_line_3	0	50	True	False	False	1400806480950060	7	3&4	False	2	False	0		False	0
19575930	945	number_line_3	0	51	True	False	False	1400806499339810	7	7	True	1	False	0		False	195
11209471	945	number_line_3	0	52	True	False	False	1400806506815700	8	6&2	False	2	False	0		False	0
20861185	945	number_line_3	0	53	True	False	False	1400806518641880	14	8&6	False	2	False	0		False	0
10260674	945	number_line_3	0	54	True	False	False	1400806531196850	12	5&7	False	2	True	4	3&4&4&4	False	0
10913991	945	number_line_3	0	55	True	False	False	1400806545432150	6	6	True	1	False	0		False	195
8492270	945	number_line_3	0	56	True	False	False	1400806551092820	14	4&4&6	False	3	True	5	2&2&3&3&3	False	0
20390949	945	number_line_3	0	57	True	False	False	1400806585824280	12	8&4	False	2	False	0		False	0
15306828	945	number_line_3	0	58	True	False	False	1400806601314110	16	10&6	False	2	True	4	2&2&2&3	False	0
13414537	945	number_line_3	0	59	True	False	False	1400806622188530	19	8&5&6	False	3	False	0		False	0
25830467	945	number_line_3	0	60	True	False	False	1400806639938970	12	6&6	False	2	False	0		False	0
12036413	945	number_line_3	0	61	True	False	False	1400806654207380	13	7&6	False	2	False	0		False	0
7088595	945	number_line_3	0	62	True	False	False	1400806675146700	13	13	True	1	False	0		False	195
18707981	945	number_line_3	0	63	True	False	False	1400806688102730	12	12	True	1	False	0		False	195
2435269	945	number_line_3	0	64	True	False	False	1400806696688050	14	7&7	False	2	False	0		False	0
15802741	945	number_line_3	0	65	True	False	False	1400806710741770	6	6	True	1	False	0		False	195
7935580	945	number_line_3	0	66	True	False	False	1400806721533390	13	9&4	False	2	False	0		False	0
24794396	945	number_line_3	0	67	True	False	False	1400806785844010	53	53	True	1	False	0		False	195
16343241	945	number_line_3	0	68	True	False	False	1400806864147060	75	75	True	1	False	0		False	195
9457160	945	number_line_3	0	69	True	False	False	1400806894550210	26	26	True	1	False	0		False	195
2384876	945	number_line_3	0	70	True	False	False	1400806903756770	7	7	True	1	False	0		False	195
2891792	945	number_line_3	0	71	True	False	False	1400806913567150	11	8&3	False	2	False	0		False	0
24355952	945	number_line_3	0	72	True	False	False	1400806923108420	9	5&4	False	2	False	0		False	0
14209273	945	number_line_3	0	73	True	False	False	1400806939015780	10	10	True	1	False	0		False	195
